date,TSI,DNI,GHI,Air_P,RH,Power
2019-1-1 0:00,0,0,0,862.5,40.97,0
2019-1-1 0:15,0,0,0,862.52,40.77,0
2019-1-1 0:30,0,0,0,862.48,40.95,0
2019-1-1 0:45,0,0,0,862.42,43.41,0
2019-1-1 1:00,0,0,0,862.39,51.39,0
2019-1-1 1:15,0,0,0,862.35,49.71,0
2019-1-1 1:30,0,0,0,862.28,49.01,0
2019-1-1 1:45,0,0,0,862.24,47.21,0
2019-1-1 2:00,0,0,0,862.31,49.1,0
2019-1-1 2:15,0,0,0,862.37,49.65,0
2019-1-1 2:30,0,0,0,862.44,48.97,0
2019-1-1 2:45,0,0,0,862.44,50.83,0
2019-1-1 3:00,0,0,0,862.52,54.57,0
2019-1-1 3:15,0,0,0,862.48,52.47,0
2019-1-1 3:30,0,0,0,862.34,53.43,0
2019-1-1 3:45,0,0,0,862.27,53.18,0
2019-1-1 4:00,0,0,0,862.19,53.49,0
2019-1-1 4:15,0,0,0,862.08,54.49,0
2019-1-1 4:30,0,0,0,861.98,54.51,0
2019-1-1 4:45,0,0,0,861.92,55.73,0
2019-1-1 5:00,0,0,0,861.85,56.19,0
2019-1-1 5:15,0,0,0,861.76,56.3,0
2019-1-1 5:30,0,0,0,861.79,57.37,0
2019-1-1 5:45,0,0,0,861.81,60.17,0
2019-1-1 6:00,0,0,0,861.89,62.5,0
2019-1-1 6:15,0,0,0,862.05,65.49,0
2019-1-1 6:30,0,0,0,862.1,64.75,0
2019-1-1 6:45,0,0,0,862.28,64.3,0
2019-1-1 7:00,0,0,0,862.39,66.19,0
2019-1-1 7:15,0,0,0,862.49,66.19,0
2019-1-1 7:30,0,0,0,862.8,68.65,0
2019-1-1 7:45,0,0,0,863.08,70.28,0
2019-1-1 8:00,0,0,0,863.31,71.44,0
2019-1-1 8:15,1.2,0.933333,1.299333,863.57,71.09,0
2019-1-1 8:30,9.73,7.066667,8.282667,863.77,71.55,0.17
2019-1-1 8:45,81.87,21.466667,66.692,863.97,70.17,2.12
2019-1-1 9:00,83.8,68.2,67.829333,864.08,64.54,4.66
2019-1-1 9:15,192.4,134.4,156.228,863.79,62.41,7.19
2019-1-1 9:30,306.87,171.133333,249.231333,863.58,59.32,9.88
2019-1-1 9:45,506.8,197.866667,411.901333,863.46,60.94,12.29
2019-1-1 10:00,585.87,245.666667,476.264,863.5,59.46,14.26
2019-1-1 10:15,635.33,282.4,516.160667,863.58,57.51,15.85
2019-1-1 10:30,683.8,319.4,555.299333,863.66,56.75,17.22
2019-1-1 10:45,728.33,355.266667,591.732,863.66,53.41,18.48
2019-1-1 11:00,771.73,384.6,626.972667,863.64,52.51,19.69
2019-1-1 11:15,814.93,400.333333,661.78,863.52,51.34,20.73
2019-1-1 11:30,852.8,394.533333,692.635333,863.29,48.55,21.54
2019-1-1 11:45,896.6,376.933333,727.984667,862.95,46.23,22.32
2019-1-1 12:00,936.6,343,760.844667,862.64,43.39,23.08
2019-1-1 12:15,973.93,297.666667,790.726,862.22,41.8,23.68
2019-1-1 12:30,997.27,246.666667,810.104667,861.79,40.87,24.17
2019-1-1 12:45,1015.2,197.2,824.396,861.3,39.57,24.6
2019-1-1 13:00,1021.8,155.066667,829.431333,860.9,37.91,24.7
2019-1-1 13:15,1024.27,127.666667,831.596667,860.42,35.93,24.87
2019-1-1 13:30,1022.13,109.066667,829.972667,860.09,34.26,24.87
2019-1-1 13:45,1008.07,95,818.387333,859.69,33.48,24.56
2019-1-1 14:00,991.73,84.866667,805.179333,859.28,32.63,24.31
2019-1-1 14:15,959.87,77.866667,779.249333,858.97,31.01,23.94
2019-1-1 14:30,845.4,72.133333,686.302667,858.63,31.01,22.75
2019-1-1 14:45,873.73,74.266667,709.472,858.42,30.65,22.78
2019-1-1 15:00,864.93,77.066667,702.217333,858.25,29.31,22.67
2019-1-1 15:15,842.87,95.6,684.624,857.99,31.53,21.71
2019-1-1 15:30,619.33,124.733333,503.007333,857.82,35.16,15.21
2019-1-1 15:45,611.2,119.8,496.348667,857.68,34.24,14.98
2019-1-1 16:00,548.33,118.4,445.247333,857.45,33.51,15.11
2019-1-1 16:15,576.87,100.133333,468.145333,857.49,24.81,14.94
2019-1-1 16:30,505.6,113.666667,410.546667,857.57,22.87,14.09
2019-1-1 16:45,540.6,72.6,438.912667,857.67,23.42,14.66
2019-1-1 17:00,533.47,79.733333,433.012,857.77,23.4,14.07
2019-1-1 17:15,447.6,49.333333,363.288,858.04,23.36,11.55
2019-1-1 17:30,370.33,40.4,300.277333,858.17,27.74,9.44
2019-1-1 17:45,287.33,36.4,232.72,858.49,30,6.83
2019-1-1 18:00,204.13,23.933333,165.430667,858.6,41.07,4.38
2019-1-1 18:15,108.53,13.266667,87.804,858.71,43.69,1.97
2019-1-1 18:30,18.2,2.933333,14.399333,859,46.51,0.25
2019-1-1 18:45,1,0,0,859.2,47.89,0
2019-1-1 19:00,1,0,0,859.42,48.76,0
2019-1-1 19:15,1,0,0,859.68,49.64,0
2019-1-1 19:30,1,0,0,859.87,47.37,0
2019-1-1 19:45,1,0,0,860.02,47.78,0
2019-1-1 20:00,1,0,0,860.15,47.02,0
2019-1-1 20:15,1,0,0,860.2,45.78,0
2019-1-1 20:30,1,0,0,860.37,45.73,0
2019-1-1 20:45,1,0,0,860.36,45.87,0
2019-1-1 21:00,1,0,0,860.54,45.36,0
2019-1-1 21:15,1,0,0,860.59,44.85,0
2019-1-1 21:30,1,0,0,860.66,44.33,0
2019-1-1 21:45,1,0,0,860.79,44.45,0
2019-1-1 22:00,1,0,0,860.99,44.87,0
2019-1-1 22:15,1,0,0,861.19,44.09,0
2019-1-1 22:30,1,0,0,861.31,44.62,0
2019-1-1 22:45,1,0,0,861.39,44.41,0
2019-1-1 23:00,1,0,0,861.42,45.33,0
2019-1-1 23:15,1,0,0,861.59,48.02,0
2019-1-1 23:30,1,0,0,861.68,46.7,0
2019-1-1 23:45,1,0,0,861.89,49.51,0
2019-1-2 0:00,1,0,0,861.96,46.78,0
2019-1-2 0:15,1,0,0,862.1,50.8,0
2019-1-2 0:30,1,0,0,862.16,52.26,0
2019-1-2 0:45,1,0,0,862.28,51.93,0
2019-1-2 1:00,1,0,0,862.28,51.71,0
2019-1-2 1:15,1,0,0,862.38,51.66,0
2019-1-2 1:30,1,0,0,862.27,49.71,0
2019-1-2 1:45,1,0,0,862.27,50.08,0
2019-1-2 2:00,1,0,0,862.37,50.76,0
2019-1-2 2:15,1,0,0,862.4,51.81,0
2019-1-2 2:30,1,0,0,862.38,52.89,0
2019-1-2 2:45,1,0,0,862.41,53.54,0
2019-1-2 3:00,1,0,0,862.48,54.04,0
2019-1-2 3:15,1,0,0,862.58,52.93,0
2019-1-2 3:30,1,0,0,862.63,53.17,0
2019-1-2 3:45,1,0,0,862.65,56.69,0
2019-1-2 4:00,1,0,0,862.69,61.92,0
2019-1-2 4:15,1,0,0,862.72,62.32,0
2019-1-2 4:30,1,0,0,862.66,60,0
2019-1-2 4:45,1,0,0,862.63,59.62,0
2019-1-2 5:00,1,0,0,862.58,62.33,0
2019-1-2 5:15,1,0,0,862.5,63.55,0
2019-1-2 5:30,1,0,0,862.57,65.46,0
2019-1-2 5:45,1,0,0,862.69,66.49,0
2019-1-2 6:00,1,0,0,862.61,62.87,0
2019-1-2 6:15,1,0,0,862.6,61.14,0
2019-1-2 6:30,1,0,0,862.74,61.2,0
2019-1-2 6:45,1,0,0,862.84,62.55,0
2019-1-2 7:00,1,0,0,862.98,63.94,0
2019-1-2 7:15,1,0,0,863.18,67.38,0
2019-1-2 7:30,1,0,0,863.5,71.49,0
2019-1-2 7:45,1,0,0,863.72,72.97,0
2019-1-2 8:00,1,0,0,863.92,73.63,0
2019-1-2 8:15,1.8,0.933333,1.299333,864.18,72.97,0
2019-1-2 8:30,9.27,7.066667,7.957333,864.36,72.85,0.17
2019-1-2 8:45,88.67,20.333333,72.159333,864.54,68.37,2.15
2019-1-2 9:00,115.8,70.2,94.030667,864.6,66.07,4.73
2019-1-2 9:15,179.53,134.466667,145.836667,864.58,63.27,7.24
2019-1-2 9:30,310.13,170.866667,251.828,864.53,58.83,9.87
2019-1-2 9:45,502.53,196.266667,408.381333,864.56,61.31,12.3
2019-1-2 10:00,581.93,241.266667,473.071333,864.56,62.73,14.16
2019-1-2 10:15,631.47,278,513.238,864.77,61.03,15.77
2019-1-2 10:30,692.27,319.8,562.285333,864.81,55.44,17.38
2019-1-2 10:45,739,354.733333,600.230667,864.72,50.31,18.78
2019-1-2 11:00,781.2,381.066667,634.876667,864.54,50.55,19.91
2019-1-2 11:15,822.53,390.333333,668.33,864.42,54.59,20.97
2019-1-2 11:30,862.4,379.533333,700.648,864.13,51.92,21.8
2019-1-2 11:45,904.07,354.866667,734.318,863.78,47.67,22.55
2019-1-2 12:00,935.8,315.533333,759.977333,863.54,47.02,23.16
2019-1-2 12:15,972.47,269,789.806667,863.3,46.08,23.82
2019-1-2 12:30,992.6,220.2,806.044667,863.12,43.52,24.19
2019-1-2 12:45,1013.47,174.533333,822.827333,862.77,40.2,24.56
2019-1-2 13:00,1031,137.133333,837.442,862.38,37.29,24.9
2019-1-2 13:15,1032.13,113.2,838.037333,862.03,32.75,24.92
2019-1-2 13:30,1027.47,94.6,834.356667,861.59,30.42,24.91
2019-1-2 13:45,1024.8,81.2,832.083333,861.24,29.55,24.76
2019-1-2 14:00,1007.27,71.666667,817.574,860.85,26.93,24.54
2019-1-2 14:15,977,66.666667,793.053333,860.51,28.45,24.23
2019-1-2 14:30,933.27,61.533333,757.541333,860.25,28.15,23.69
2019-1-2 14:45,896.87,57.733333,727.768,859.95,28.37,23.17
2019-1-2 15:00,861.8,53.6,699.239333,859.61,27.37,22.57
2019-1-2 15:15,821.8,49.266667,667.138667,859.47,26.32,21.8
2019-1-2 15:30,781.93,46.066667,634.605333,859.35,26.72,20.92
2019-1-2 15:45,729.67,44.066667,592.326667,859.24,29.77,19.94
2019-1-2 16:00,691.47,43.2,561.254667,859.2,30.29,18.92
2019-1-2 16:15,654.4,42.4,530.831333,859.09,28.95,17.76
2019-1-2 16:30,607.93,40.133333,493.317333,859.03,31.25,16.48
2019-1-2 16:45,555.73,40.066667,450.93,858.99,34.17,15.09
2019-1-2 17:00,492.47,37.466667,399.504,858.98,34.23,13.28
2019-1-2 17:15,436.2,34.133333,354.032,858.99,34.47,11.45
2019-1-2 17:30,363.13,31.4,294.486,858.94,37.73,9.21
2019-1-2 17:45,278,27.066667,225.138667,859.01,39.91,6.56
2019-1-2 18:00,192.13,21.4,155.688667,859.14,41.85,4.02
2019-1-2 18:15,113.73,13.933333,91.920667,859.25,43.62,1.98
2019-1-2 18:30,23.87,3.933333,18.946,859.58,45.61,0.32
2019-1-2 18:45,1,0,0.054,859.74,47.32,0
2019-1-2 19:00,1,0,0,859.93,47.1,0
2019-1-2 19:15,1,0,0,860.12,45.73,0
2019-1-2 19:30,1,0,0,860.38,45.15,0
2019-1-2 19:45,1,0,0,860.54,43.97,0
2019-1-2 20:00,1,0,0,860.65,43.99,0
2019-1-2 20:15,1,0,0,860.91,43.83,0
2019-1-2 20:30,1,0,0,861.11,43.89,0
2019-1-2 20:45,1,0,0,861.3,42.42,0
2019-1-2 21:00,1,0,0,861.34,43.91,0
2019-1-2 21:15,1,0,0,861.31,45.7,0
2019-1-2 21:30,1,0,0,861.33,46.41,0
2019-1-2 21:45,1,0,0,861.41,49.17,0
2019-1-2 22:00,1,0,0,861.4,49.89,0
2019-1-2 22:15,1,0,0,861.34,51.08,0
2019-1-2 22:30,1,0,0,861.28,52.73,0
2019-1-2 22:45,1,0,0,861.29,53.65,0
2019-1-2 23:00,1,0,0,861.24,55.31,0
2019-1-2 23:15,1,0,0,861.31,58.39,0
2019-1-2 23:30,1,0,0,861.16,56,0
2019-1-2 23:45,1,0,0,861.14,54.38,0
2019-1-3 0:00,1,0,0,861.14,56.75,0
2019-1-3 0:15,1,0,0,861.16,56.13,0
2019-1-3 0:30,1,0,0,861.16,58.33,0
2019-1-3 0:45,1,0,0,861.11,61.01,0
2019-1-3 1:00,1,0,0,861.19,62.76,0
2019-1-3 1:15,1,0,0,861.34,62.61,0
2019-1-3 1:30,1,0,0,861.41,64.91,0
2019-1-3 1:45,1,0,0,861.46,64.91,0
2019-1-3 2:00,1,0,0,861.44,65.8,0
2019-1-3 2:15,1,0,0,861.53,67.39,0
2019-1-3 2:30,1,0,0,861.45,68.95,0
2019-1-3 2:45,1,0,0,861.37,69.6,0
2019-1-3 3:00,1,0,0,861.21,70.97,0
2019-1-3 3:15,1,0,0,861.06,69.22,0
2019-1-3 3:30,1,0,0,860.77,66.29,0
2019-1-3 3:45,1,0,0,860.57,70.85,0
2019-1-3 4:00,1,0,0,860.54,72.28,0
2019-1-3 4:15,1,0,0,860.44,66.33,0
2019-1-3 4:30,1,0,0,860.27,63.55,0
2019-1-3 4:45,1,0,0,860.22,63.87,0
2019-1-3 5:00,1,0,0,860.23,65.15,0
2019-1-3 5:15,1,0,0,860.14,64.61,0
2019-1-3 5:30,1,0,0,860.07,62.4,0
2019-1-3 5:45,1,0,0,860.12,61.28,0
2019-1-3 6:00,1,0,0,860.03,59.78,0
2019-1-3 6:15,1,0,0,859.96,58.69,0
2019-1-3 6:30,1,0,0,859.98,57.99,0
2019-1-3 6:45,1,0,0,860.02,57.19,0
2019-1-3 7:00,1,0,0,860.21,57.11,0
2019-1-3 7:15,1,0,0,860.26,57.14,0
2019-1-3 7:30,1,0,0,860.39,56.87,0
2019-1-3 7:45,1,0,0,860.47,55.12,0
2019-1-3 8:00,1,0,0,860.57,54.68,0
2019-1-3 8:15,2.6,0.933333,2.218,860.82,62.95,0
2019-1-3 8:30,11.27,7.333333,9.636667,860.94,60.88,0.18
2019-1-3 8:45,90.07,20.666667,73.242667,861.09,58.7,1.82
2019-1-3 9:00,135.8,68,110.216,861.15,54.93,4.22
2019-1-3 9:15,163.87,128.666667,132.952,861.21,54.39,6.77
2019-1-3 9:30,305.6,166.133333,248.093333,861.18,54.15,9.51
2019-1-3 9:45,490,193.733333,398.258667,861.21,53.1,11.92
2019-1-3 10:00,584.13,242.133333,474.802667,861.14,51.17,14.02
2019-1-3 10:15,643.8,282.333333,523.360667,861.18,48.6,15.96
2019-1-3 10:30,696.07,319.466667,565.476667,861.26,47.34,17.52
2019-1-3 10:45,736.87,349.066667,598.552,861.28,45.42,18.73
2019-1-3 11:00,773.07,367.266667,627.893333,861.26,45.68,19.74
2019-1-3 11:15,817.47,372.6,663.89,861.1,44.94,20.83
2019-1-3 11:30,862.67,367.533333,700.592667,860.78,40.92,22.09
2019-1-3 11:45,921.07,344.533333,747.906667,860.21,35.23,23.37
2019-1-3 12:00,948.07,288.866667,769.667333,859.83,33.52,24.06
2019-1-3 12:15,978.73,241.133333,794.84,859.58,32.38,24.53
2019-1-3 12:30,1000.33,196.333333,812.217333,859.26,32.03,24.99
2019-1-3 12:45,1015.67,156.266667,824.777333,858.9,30.56,25.36
2019-1-3 13:00,1022.7,126.7,830.433,858.6,29.82,25.48
2019-1-3 13:15,1039.33,106.666667,843.938667,858.05,27.21,25.87
2019-1-3 13:30,995.33,92.866667,808.264667,857.7,25.13,24.25
2019-1-3 13:45,861.73,85.933333,699.727333,857.36,23.61,22.17
2019-1-3 14:00,839.4,90.333333,681.648,857,23.05,20.5
2019-1-3 14:15,706.3,95.4,573.597,856.7,22.85,17.05
2019-1-3 14:30,606.8,104.466667,492.668,856.31,20.77,15.25
2019-1-3 14:45,678.13,95.266667,550.480667,855.95,21.06,17.39
2019-1-3 15:00,673.07,83.266667,546.53,855.84,21.77,18.3
